Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,Orçado Receitas
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 9.916,50","R$ 5.418,36","R$ 9.703,65","R$ 17.799,77",,,,,,,,,"R$ 42.838,28","R$ 3.000.000,00"
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 772,31","R$ 165,97","R$ 126,32","R$ 536,39",,,,,,,,,"R$ 1.600,99","R$ 1.000,00"
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 65.331,93","R$ 55.009,85","R$ 46.732,92","R$ 36.401,91",,,,,,,,,"R$ 203.476,61","R$ 250.000,00"
11180114000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 18.855,14","R$ 18.578,76","R$ 16.289,92","R$ 14.045,29",,,,,,,,,"R$ 67.769,11","R$ 60.000,00"
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 122.342,54","R$ 156.071,02","R$ 180.635,60","R$ 642.010,68",,,,,,,,,"R$ 1.101.059,84","R$ 900.000,00"
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.000,00"
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 500,00"
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 500,00"
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 207.051,77","R$ 215.030,91","R$ 209.469,13","R$ 214.730,40",,,,,,,,,"R$ 846.282,21","R$ 2.500.000,00"
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 18.244,93","R$ 23.885,52","R$ 42.626,69","R$ 23.980,22",,,,,,,,,"R$ 108.737,36","R$ 560.000,00"
11180231000,Impostos,Serviços de Qualquer Natureza - Principal ,"R$ 357.808,36","R$ 259.815,86","R$ 314.516,52","R$ 295.352,59",,,,,,,,,"R$ 1.227.493,33","R$ 2.600.000,00"
11180232000,Impostos,Serviços de Qualquer Natureza - Multas e Juros ,"R$ 2.998,44","R$ 1.999,00","R$ 3.044,41","R$ 1.877,61",,,,,,,,,"R$ 9.919,46","R$ 1.000,00"
11180233000,Impostos, Serviços de Qualquer Natureza - Dívida Ativa ,"R$ 6.009,33","R$ 10.825,66","R$ 12.754,62","R$ 30.215,12",,,,,,,,,"R$ 59.804,73","R$ 25.000,00"
11180234000,Impostos,Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros ,"R$ 5.069,62","R$ 5.107,49","R$ 4.663,23","R$ 6.302,09",,,,,,,,,"R$ 21.142,43","R$ 40.000,00"
17180121000,Cota-Parte ,Fundo de Participação dos Municípios - Cota Mensal - Principal ,"R$ 3.429.655,85","R$ 4.312.104,86","R$ 2.611.240,49","R$ 3.074.481,99",,,,,,,,,"R$ 13.427.483,19","R$ 41.233.000,00"
17180131000,Cota-Parte ,Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal ,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,"R$ 0,00","R$ 1.750.000,00"
