Código,Categoria,Descrição da Receita,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,TOTAL,Orçado Receitas,Repasse,2025,Atualização Quadrimestral,% Atualização 
11180111000,Impostos,Propriedade Predial e Territorial Urbana - Principal ,"R$ 11.834,97","R$ 129,58","R$ 0,00",,,,,,,,,,"R$ 11.964,55","R$ 500.000,00",,,,
11180112000,Impostos,Propriedade Predial e Territorial Urbana - Multas e Juros ,"R$ 2.838,93","R$ 27,39","R$ 0,00",,,,,,,,,,"R$ 2.866,32","R$ 1.000,00",,,,
11180113000,Impostos,Propriedade Predial e Territorial Urbana - Dívida Ativa ,"R$ 7.863,76","R$ 2.985,66","R$ 2.829,78",,,,,,,,,,"R$ 13.679,20","R$ 250.000,00",,,,
11180114000,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros ,"R$ 1.917,30","R$ 742,96","R$ 907,53",,,,,,,,,,"R$ 3.567,79","R$ 60.000,00",,,,
11180141000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal ,"R$ 113.992,47","R$ 99.667,85","R$ 389.625,78",,,,,,,,,,"R$ 603.286,10","R$ 900.000,00",,,,
11180142000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 1.000,00",,,,
11180143000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 500,00",,,,
11180144000,Impostos,Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida ,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,"R$ 0,00","R$ 500,00",,,,
11130311000,Impostos,Renda - Retido na Fonte - Trabalho - Principal ,"R$ 271.461,37","R$ 222.149,64","R$ 210.722,25",,,,,,,,,,"R$ 704.333,26","R$ 2.500.000,00",,,,
11130341000,Impostos,Renda - Retido na Fonte - Outros Rendimentos ,"R$ 72.511,01","R$ 52.400,58","R$ 70.410,38",,,,,,,,,,"R$ 195.321,97","R$ 560.000,00",,,,
